elapsed_time,distance,latitude,longitude,altitude,l_r_balance,power,cadence,speed,heartrate,ankling_log_left,ankling_log_right,foot_range_log_left,foot_range_log_right,leg_range_log_left,leg_range_log_right,pedaling_delay_log_left,pedaling_delay_log_right,waist_angle_log_center,waist_d_rot_y_center,waist_d_rot_z_center,torso_angle_log_center,torso_d_rot_y_center,torso_d_rot_z_center
1089,12811,36.985626,136.79144,46,,311,91,12.41,,0.0,2.6,,,,,39.8,8.2,47.0,8.2,5.6,10.5,7.6,7.6
1090,12820,36.98573,136.79141,46,,331,92,12.45,,0.0,2.3,,60.5,,,37.9,23.0,44.9,7.9,3.6,10.1,4.4,7.8
1091,12832,36.98584,136.79138,46,,283,92,12.44,,0.0,0.0,53.2,53.4,,,27.5,47.2,47.6,7.5,2.6,11.6,3.2,7.2
1092,12845,36.98595,136.79135,45,,333,91,12.4,,0.0,0.0,,51.4,,,34.3,36.8,47.8,7.6,4.0,9.8,4.2,6.2
1093,12857,36.986057,136.79132,45,,311,91,12.35,,0.0,0.0,51.7,51.2,,,5.4,29.4,47.9,7.7,6.8,9.6,7.4,7.1
1094,12870,36.98617,136.79129,45,,323,91,12.34,,0.0,0.0,54.6,51.2,,,39.6,35.6,47.1,6.4,5.0,10.9,8.2,7.8
1095,12880,36.986286,136.79126,45,,336,91,12.38,,0.0,0.0,49.5,52.3,,,31.2,34.1,47.3,5.5,6.1,10.2,7.2,7.3
1096,12897,36.98641,136.79123,45,,312,91,12.46,,0.0,0.0,52.7,53.5,,,23.2,45.1,46.9,8.2,7.5,10.5,7.6,6.0
1097,12905,36.986515,136.7912,45,,302,93,12.59,,0.0,0.0,51.1,52.4,,,26.1,36.2,44.7,10.7,6.3,11.6,8.8,7.2
1098,12918,36.986626,136.79117,45,,271,94,12.8,,0.0,5.6,,,,,36.2,37.8,44.2,7.8,5.4,10.5,7.7,7.4
1099,12931,36.986744,136.79114,45,,266,94,12.84,,0.0,0.0,,,,,36.0,34.9,46.1,8.8,5.4,11.0,4.7,5.1
1100,12943,36.986855,136.7911,45,,314,95,12.92,,0.0,0.0,52.7,51.3,,,29.1,34.3,47.0,7.2,6.2,8.2,2.7,4.2
1101,12958,36.98697,136.79108,45,,297,96,13.04,,0.0,0.0,51.3,52.2,,,34.9,11.6,47.0,5.5,6.3,11.9,2.0,4.9
1102,12970,36.987076,136.79106,45,,310,96,13.02,,0.0,0.0,50.7,52.0,,,29.7,37.0,47.9,6.4,6.2,13.7,1.8,6.5
1103,12985,36.987198,136.79102,45,,313,96,12.97,,0.0,0.0,52.5,52.3,,,42.1,38.5,47.8,7.0,6.9,11.2,2.2,6.0
1104,12996,36.987305,136.79099,45,,299,95,12.86,,0.0,0.0,52.2,53.2,,,29.7,8.2,47.4,7.7,7.3,12.0,3.3,5.0
1105,13012,,,45,,305,94,12.83,,0.0,0.0,49.8,52.7,,,31.1,35.9,44.2,7.9,6.1,10.0,4.6,6.5
1106,13021,36.987423,136.79095,45,,263,94,12.76,,0.0,0.0,,,,,39.5,37.4,47.0,7.5,4.3,10.0,7.3,6.8
1107,13040,36.987644,136.79088,45,,307,94,12.7,,0.0,0.0,50.3,51.7,,,30.1,35.3,47.3,4.8,3.6,11.1,4.6,5.8
1108,13050,36.98776,136.79086,45,,311,93,12.67,,0.0,0.0,52.4,51.6,,,29.8,27.1,47.2,3.9,6.2,11.4,2.7,6.0
1109,13065,,,45,,296,93,12.62,,0.0,0.0,54.1,51.2,,,28.9,27.7,47.2,7.8,7.5,8.9,2.7,5.9
1110,13075,36.987877,136.79083,45,,296,93,12.59,,0.0,0.0,50.9,52.0,,,23.1,39.9,47.7,7.6,6.6,13.8,5.4,6.4
1111,13088,36.9881,136.79077,45,,305,93,12.55,,0.0,0.0,53.8,52.6,,,42.1,24.4,47.8,6.2,6.3,12.0,2.9,6.3
1112,13098,,,45,,305,92,12.53,,0.0,0.0,52.2,51.6,,,36.2,16.2,48.1,6.4,6.3,10.4,2.1,5.9
1113,13111,36.988213,136.79074,45,,330,92,12.52,,0.0,0.0,47.9,,,,28.5,33.7,48.1,7.5,5.0,12.1,5.5,6.6
1114,13123,36.988445,136.7907,45,,310,92,12.52,,0.0,0.0,,51.3,,,29.2,29.5,48.3,6.1,5.8,11.0,3.6,7.1
1115,13136,36.98856,136.79066,45,,298,92,12.51,,0.0,0.0,,,,,22.8,34.6,45.2,5.6,6.1,12.4,2.3,6.7
1116,13153,36.988667,136.79063,45,,276,92,12.52,,0.0,23.0,42.7,,,,32.6,41.5,46.7,4.9,4.9,9.4,5.8,6.9
1117,13161,36.988777,136.79062,45,,304,92,12.5,,0.0,0.0,,49.6,,,42.3,34.2,46.9,7.6,5.6,11.0,3.8,5.5
1118,13174,36.98888,136.79059,45,,313,92,12.51,,0.0,0.0,50.3,51.7,,,27.0,27.0,47.9,6.8,6.0,11.1,2.1,5.2
1119,13186,36.98899,136.79056,45,,313,92,12.53,,0.0,0.0,51.6,51.1,,,42.5,24.4,47.7,7.2,6.0,10.4,2.8,6.5
1120,13199,36.98911,136.79053,45,,309,92,12.55,,1.9,0.0,54.1,51.4,,,33.5,34.8,47.7,6.3,5.6,12.6,6.6,7.0
1121,13212,36.989223,136.7905,45,,319,93,12.56,,0.0,0.0,50.3,52.3,,,32.6,35.0,44.7,6.9,5.6,12.2,7.2,6.2
1122,13224,36.989334,136.79047,45,,283,93,12.6,,0.0,0.0,45.5,50.9,,,31.4,31.0,46.6,7.4,5.1,9.8,4.5,7.0
1123,13239,36.989452,136.79044,44,,303,93,12.55,,0.0,0.0,,53.2,,,32.6,33.7,47.4,7.4,5.1,9.5,3.3,6.0
1124,13249,36.989567,136.79042,44,,324,92,12.58,,0.0,0.0,52.0,52.7,,,3.4,36.6,47.7,5.7,6.6,14.3,4.5,6.4
1125,13264,36.98968,136.79039,44,,382,93,12.63,,0.0,0.0,52.5,52.0,,,38.8,33.2,48.0,6.6,7.4,11.9,5.1,6.2
1126,13274,36.989796,136.79037,44,,337,93,12.67,,0.0,0.0,,52.2,,,37.0,32.7,47.7,7.7,7.3,11.2,3.2,5.9
1127,13287,36.989902,136.79036,44,,318,93,12.68,,0.0,0.0,51.5,,,,29.5,11.1,47.7,8.6,5.6,12.5,6.0,7.5
1128,13300,36.990017,136.79031,44,,315,93,12.69,,0.0,0.0,53.5,52.3,,,34.9,36.2,47.5,7.6,5.6,13.7,6.8,6.5
1129,13312,36.99013,136.79028,44,,319,94,12.68,,0.0,0.0,,50.4,,,12.6,21.9,44.4,5.6,6.4,13.4,3.0,6.0
1130,13327,,,44,,317,94,12.72,,1.5,0.0,,,,,24.4,29.5,47.0,7.1,5.6,11.4,2.1,5.5
1131,13337,,,44,,340,93,12.68,,0.0,0.0,50.0,53.0,,,28.7,35.6,47.2,7.6,3.6,12.5,3.7,5.5
1132,13352,36.99036,136.79022,44,,340,93,12.65,,0.0,0.0,53.0,52.1,,,22.8,16.2,47.7,8.2,5.1,11.0,6.9,6.8
1133,13365,36.990585,136.79016,44,,344,93,12.58,,0.0,0.0,,51.5,,,30.2,41.0,47.6,7.5,6.7,10.9,6.8,7.1
